1,1,Turkiye'nin baskenti neresidir?,Istanbul,Ankara,Izmir,Bursa,B,Info
2,1,Hangi hayvan miyavlar?,Kopek,Kus,Kedi,At,C,Info
3,1,Gunes dogudan dogar batidan ne olur?,Batar,Dogar,Durur,Doner,A,Info
4,2,Su kac derecede kaynar?,50,80,90,100,D,Info
5,2,Bir yil kac gundur?,300,350,365,400,C,Info
6,2,Hangi renk ana renk degildir?,Kirmizi,Mavi,Sari,Yesil,D,Info
7,3,Fatih Sultan Mehmet Istanbul'u kac yilinda fethetti?,1071,1299,1453,1923,C,Info
8,3,Periyodik tabloda 'O' hangi elementi simgeler?,Oksijen,Osmiyum,Oganesson,Ozon,A,Info
9,3,Futbol maclari kac dakika surer?,80,90,100,120,B,Info
10,4,Mona Lisa tablosunu kim yapmistir?,Picasso,Van Gogh,Da Vinci,Michelangelo,C,Info
11,4,Hangi gezegen Kizil Gezegen olarak bilinir?,Mars,Venus,Jupiter,Saturn,A,Info
12,5,DNA'nin acilimi nedir?,Deoksiribo N端kleik Asit,Dinamik N端kleik Asit,Dogal N端kleik Asit,Dengesiz N端kleik Asit,A,Info
13,6,Elektrik ampulunu kim icat etmistir?,Tesla,Edison,Einstein,Newton,B,Info
14,7,Pusulada 'N' harfi hangi yonu gosterir?,Guney,Dogu,Bati,Kuzey,D,Info
15,8,Hangi ulke Asya kitasinda degildir?,Cin,Japonya,Hindistan,Fransa,D,Info
16,9,Suyun kimyasal formulu nedir?,CO2,H2O,NaCl,O2,B,Info
17,10,Turkiye Cumhuriyeti kac yilinda kurulmustur?,1920,1923,1930,1938,B,Info
18,11,Hangi elementin atom numarasi 1'dir?,Helyum,Hidrojen,Lityum,Berilyum,B,Info
19,12,Dunyanin en yuksek dagi hangisidir?,K2,Agri Dagi,Everest,Alpler,C,Info